date,transaction_type,amount
2024-01-31,Expense,2500.0
2024-01-31,Expense,240000.0
2024-02-02,Expense,20000.0
2024-02-02,Expense,1500.0
2024-02-02,Expense,100000.0
2024-02-02,Expense,1500.0
2024-02-02,Expense,680000.0
2024-02-02,Expense,6500.0
2024-02-02,Expense,7845000.0
2024-02-02,Income,12045000.0
2024-02-02,Expense,100000.0
2024-02-02,Income,681015.0
2024-02-02,Income,1200000.0
2024-02-02,Expense,2500.0
2024-02-02,Expense,3000000.0
2024-02-03,Expense,200000.0
2024-02-04,Expense,2500.0
2024-02-04,Expense,1000.0
2024-02-04,Expense,332000.0
2024-02-05,Expense,1000000.0
2024-02-05,Expense,1000.0
2024-02-06,Expense,2000.0
2024-02-09,Expense,100000.0
2024-02-10,Expense,500.0
2024-02-12,Expense,200000.0
2024-02-13,Income,100000.0
2024-02-15,Expense,200000.0
2024-02-15,Expense,2500.0
2024-02-15,Expense,150000.0
2024-02-16,Expense,5500.0
2024-02-16,Expense,2500.0
2024-02-18,Income,400000.0
2024-02-19,Expense,50000.0
2024-02-19,Expense,3000.0
2024-02-20,Expense,1000.0
2024-02-20,Expense,6000.0
2024-02-21,Expense,200000.0
2024-02-24,Income,200000.0
2024-02-26,Expense,200000.0
2024-02-26,Expense,1000000.0
2024-02-26,Income,4575000.0
2024-02-27,Expense,200000.0
2024-02-28,Expense,150000.0
2024-02-28,Expense,200000.0
2024-02-28,Expense,2500.0
2024-02-28,Expense,2500.0
2024-02-28,Expense,3000000.0
2024-03-01,Income,1200000.0
2024-03-02,Expense,200000.0
2024-03-02,Income,1200000.0
2024-03-02,Expense,680000.0
2024-03-02,Expense,2500.0
2024-03-03,Expense,15000.0
2024-03-03,Expense,1500.0
2024-03-03,Expense,1500.0
2024-03-03,Expense,100000.0
2024-03-04,Expense,1500.0
2024-03-04,Expense,200000.0
2024-03-04,Expense,400214.0
2024-03-05,Income,20000.0
2024-03-06,Expense,750.0
2024-03-06,Expense,150000.0
2024-03-07,Expense,100000.0
2024-03-07,Expense,145000.0
2024-03-08,Expense,35104.0
2024-03-09,Expense,20000.0
2024-03-11,Expense,200000.0
2024-03-13,Expense,60000.0
2024-03-13,Expense,1000.0
2024-03-13,Expense,30500.0
2024-03-16,Expense,2500.0
2024-03-16,Expense,5500.0
2024-03-20,Expense,1000.0
2024-03-20,Expense,6000.0
2024-03-21,Income,200000.0
2024-03-22,Expense,20500.0
2024-03-23,Income,1000000.0
2024-03-24,Expense,22000.0
2024-03-25,Expense,200000.0
2024-03-25,Expense,5000.0
2024-03-25,Expense,10000.0
2024-03-26,Expense,50000.0
2024-03-26,Expense,3000.0
2024-03-28,Expense,750.0
2024-04-01,Expense,30000.0
2024-04-01,Expense,200000.0
2024-04-01,Expense,2500.0
2024-04-01,Income,1200000.0
2024-04-02,Expense,2500.0
2024-04-02,Expense,20000.0
2024-04-02,Expense,1500.0
2024-04-02,Expense,680000.0
2024-04-02,Expense,261300.0
2024-04-02,Expense,100000.0
2024-04-02,Expense,100000.0
2024-04-02,Expense,1000.0
2024-04-02,Expense,20000.0
2024-04-02,Expense,1500.0
2024-04-03,Expense,188700.0
2024-04-03,Income,500000.0
2024-04-03,Expense,100500.0
2024-04-03,Income,450000.0
2024-04-04,Expense,150000.0
2024-04-04,Expense,750.0
2024-04-06,Expense,750.0
2024-04-07,Expense,2500.0
2024-04-07,Expense,25000.0
2024-04-08,Expense,750.0
2024-04-11,Expense,50000.0
2024-04-12,Income,2000000.0
2024-04-12,Expense,400135.0
2024-04-12,Expense,86207.0
2024-04-12,Expense,100101.0
2024-04-12,Expense,1500.0
2024-04-12,Expense,100000.0
2024-04-13,Income,100101.0
2024-04-13,Expense,100115.0
2024-04-14,Income,2000000.0
2024-04-15,Expense,20500.0
2024-04-16,Expense,332396.0
2024-04-16,Expense,5500.0
2024-04-16,Expense,2500.0
2024-04-16,Expense,750.0
2024-04-16,Expense,60118.0
2024-04-17,Expense,41000.0
2024-04-17,Expense,750.0
2024-04-19,Expense,30000.0
2024-04-19,Expense,1500.0
2024-04-20,Expense,6000.0
2024-04-20,Expense,1000.0
2024-04-22,Expense,300000.0
2024-04-26,Expense,1500.0
2024-04-26,Expense,30000.0
2024-04-27,Expense,1000.0
2024-04-27,Expense,250000.0
2024-04-29,Expense,100000.0
2024-04-29,Expense,1500.0
2024-04-29,Expense,20000.0
2024-04-29,Expense,164000.0
2024-04-29,Expense,1500.0
2024-05-01,Expense,97090.0
2024-05-02,Expense,680000.0
2024-05-02,Expense,2500.0
2024-05-02,Income,1200000.0
2024-05-03,Expense,300000.0
2024-05-04,Expense,10000.0
2024-05-04,Expense,200000.0
2024-05-04,Expense,750.0
2024-05-04,Income,20000.0
2024-05-05,Expense,16000.0
2024-05-05,Expense,32000.0
2024-05-05,Expense,16000.0
2024-05-05,Expense,150000.0
2024-05-06,Expense,750.0
2024-05-07,Expense,26500.0
2024-05-07,Income,17000.0
2024-05-08,Expense,239800.0
2024-05-08,Income,300000.0
2024-05-08,Income,500000.0
2024-05-09,Income,50000.0
2024-05-09,Expense,59200.0
2024-05-09,Expense,3000.0
2024-05-09,Expense,50000.0
2024-05-09,Expense,7500.0
2024-05-09,Expense,500000.0
2024-05-10,Income,40000.0
2024-05-11,Expense,16000.0
2024-05-12,Expense,1500.0
2024-05-14,Expense,20500.0
2024-05-14,Expense,100500.0
2024-05-15,Expense,200000.0
2024-05-16,Expense,5500.0
2024-05-16,Expense,2500.0
2024-05-18,Expense,200000.0
2024-05-18,Expense,800000.0
2024-05-18,Income,1500000.0
2024-05-18,Income,900000.0
2024-05-19,Expense,900000.0
2024-05-20,Expense,1000.0
2024-05-20,Expense,100000.0
2024-05-20,Expense,6000.0
2024-05-21,Expense,99000.0
2024-05-22,Expense,2250.0
2024-05-25,Expense,200000.0
2024-05-25,Expense,20500.0
2024-05-25,Expense,100000.0
2024-05-26,Expense,750.0
2024-05-28,Expense,751900.0
2024-05-29,Expense,200000.0
2024-05-31,Expense,100000.0
2024-05-31,Expense,92954.0
2024-05-31,Expense,1500.0
2024-05-31,Expense,100000.0
2024-05-31,Expense,1500.0
2024-05-31,Expense,20000.0
2024-06-01,Expense,750.0
2024-06-01,Expense,200000.0
2024-06-03,Income,1200000.0
2024-06-04,Income,121000.0
2024-06-05,Expense,150000.0
2024-06-06,Expense,2500.0
2024-06-06,Expense,100500.0
2024-06-07,Expense,100000.0
2024-06-07,Expense,1000.0
2024-06-08,Expense,200000.0
2024-06-10,Expense,1000000.0
2024-06-10,Expense,200151.0
2024-06-10,Expense,750.0
2024-06-13,Expense,50000.0
2024-06-13,Expense,3000.0
2024-06-14,Income,200000.0
2024-06-14,Expense,750.0
2024-06-16,Expense,2500.0
2024-06-16,Expense,5500.0
2024-06-17,Income,44000.0
2024-06-17,Expense,200000.0
2024-06-18,Expense,50155.0
2024-06-20,Expense,16900.0
2024-06-20,Expense,6000.0
2024-06-20,Expense,1000.0
2024-06-21,Expense,36959.0
2024-06-24,Expense,1000000.0
2024-06-24,Income,2000000.0
2024-06-24,Income,200000.0
2024-06-24,Expense,45000.0
2024-06-24,Expense,250000.0
2024-06-26,Expense,200000.0
2024-06-28,Expense,100000.0
2024-06-29,Income,45000.0
2024-06-29,Expense,200000.0
2024-06-30,Expense,33000.0
2024-06-30,Expense,1500.0
2024-07-01,Expense,1500.0
2024-07-01,Expense,1500.0
2024-07-01,Expense,100000.0
2024-07-01,Expense,20000.0
2024-07-01,Income,1200000.0
2024-07-02,Expense,2500.0
2024-07-02,Expense,680000.0
2024-07-02,Income,1000000.0
2024-07-02,Income,250000.0
2024-07-02,Expense,200000.0
2024-07-02,Expense,239100.0
2024-07-02,Expense,200000.0
2024-07-02,Expense,10900.0
2024-07-04,Expense,1500.0
2024-07-04,Expense,10129.0
2024-07-04,Expense,10130.0
2024-07-06,Expense,750.0
2024-07-09,Expense,50000.0
2024-07-09,Expense,511500.0
2024-07-09,Expense,500000.0
2024-07-09,Expense,5000.0
2024-07-09,Expense,200000.0
2024-07-13,Income,7000000.0
2024-07-14,Income,70000.0
2024-07-14,Expense,1500.0
2024-07-15,Income,50000.0
2024-07-16,Expense,750.0
2024-07-16,Expense,5500.0
2024-07-16,Expense,70112.0
2024-07-16,Expense,2500.0
2024-07-18,Expense,200000.0
2024-07-20,Expense,1000.0
2024-07-20,Expense,6000.0
2024-07-21,Expense,150000.0
2024-07-22,Expense,20000.0
2024-07-22,Expense,1500.0
2024-07-22,Expense,100000.0
2024-07-22,Expense,1500.0
2024-07-22,Expense,370000.0
2024-07-23,Income,150000.0
2024-07-24,Expense,2500.0
2024-07-24,Expense,250000.0
2024-07-25,Expense,150000.0
2024-07-28,Income,1000000.0
2024-07-30,Income,1000000.0
2024-07-30,Expense,3000000.0
2024-07-30,Expense,7500.0
2024-07-30,Expense,3000000.0
2024-07-30,Expense,1000000.0
2024-07-30,Expense,7500.0
2024-07-30,Expense,7500.0
2024-07-31,Expense,750.0
2024-08-02,Expense,700000.0
2024-08-02,Income,1200000.0
2024-08-03,Expense,200000.0
2024-08-04,Expense,3750.0
2024-08-04,Expense,600000.0
2024-08-06,Expense,750.0
2024-08-06,Income,50000.0
2024-08-06,Expense,20000.0
2024-08-08,Expense,30000.0
2024-08-08,Expense,100000.0
2024-08-09,Income,2000000.0
2024-08-10,Expense,750.0
2024-08-10,Expense,100000.0
2024-08-11,Expense,38000.0
2024-08-12,Expense,750.0
2024-08-14,Expense,100000.0
2024-08-14,Income,4245000.0
2024-08-14,Expense,20000.0
2024-08-14,Expense,100000.0
2024-08-14,Expense,3000.0
2024-08-14,Expense,50000.0
2024-08-14,Expense,100000.0
2024-08-14,Expense,1500.0
2024-08-14,Expense,1500.0
2024-08-15,Expense,2000.0
2024-08-15,Expense,126000.0
2024-08-15,Expense,4245000.0
2024-08-16,Expense,200000.0
2024-08-16,Expense,2500.0
2024-08-16,Income,120000.0
2024-08-16,Expense,5500.0
2024-08-16,Expense,22000.0
2024-08-16,Expense,21000.0
2024-08-17,Income,300000.0
2024-08-17,Expense,7500.0
2024-08-17,Expense,500000.0
2024-08-18,Income,150000.0
2024-08-18,Expense,750.0
2024-08-18,Expense,300000.0
2024-08-20,Income,700000.0
2024-08-20,Income,250000.0
2024-08-20,Income,350000.0
2024-08-20,Expense,6000.0
2024-08-20,Expense,1000.0
2024-08-21,Expense,1000000.0
2024-08-21,Expense,300000.0
2024-08-22,Expense,750.0
2024-08-23,Expense,7500.0
2024-08-23,Expense,200000.0
2024-08-24,Income,100000.0
2024-08-27,Income,150000.0
2024-08-28,Income,14000.0
2024-08-31,Expense,25000.0
2024-09-02,Expense,680000.0
2024-09-02,Expense,2500.0
2024-09-04,Expense,80000.0
2024-09-04,Expense,750.0
2024-09-05,Income,1200000.0
2024-09-05,Expense,100000.0
2024-09-06,Expense,350000.0
2024-09-06,Expense,2000.0
2024-09-06,Expense,600000.0
2024-09-10,Expense,1500.0
2024-09-11,Expense,100000.0
2024-09-12,Expense,100000.0
2024-09-12,Expense,19800.0
2024-09-12,Expense,1000.0
2024-09-12,Expense,2500.0
2024-09-13,Expense,200000.0
2024-09-13,Expense,20000.0
2024-09-13,Expense,1500.0
2024-09-13,Expense,100000.0
2024-09-13,Expense,1500.0
2024-09-16,Expense,5500.0
2024-09-16,Expense,2500.0
2024-09-16,Expense,3000.0
2024-09-16,Expense,50000.0
2024-09-19,Expense,250131.0
2024-09-19,Expense,100000.0
2024-09-19,Expense,2500.0
2024-09-20,Expense,1000.0
2024-09-20,Expense,6000.0
2024-09-22,Expense,50000.0
2024-09-23,Income,500000.0
2024-09-24,Expense,300000.0
2024-09-24,Expense,7500.0
2024-09-24,Income,100000.0
2024-09-24,Expense,96300.0
2024-09-27,Income,200000.0
2024-09-27,Expense,200000.0
2024-09-28,Expense,750.0
2024-10-01,Income,300000.0
2024-10-01,Expense,300000.0
2024-10-01,Expense,100000.0
2024-10-03,Income,1200000.0
2024-10-03,Expense,1500.0
2024-10-03,Expense,20000.0
2024-10-08,Expense,1000000.0
2024-10-08,Expense,200000.0
2024-10-10,Expense,750.0
2024-10-13,Expense,100000.0
2024-10-13,Expense,20000.0
2024-10-13,Expense,1500.0
2024-10-13,Income,500000.0
2024-10-13,Expense,1500.0
2024-10-14,Expense,750.0
2024-10-14,Expense,90000.0
2024-10-14,Expense,55000.0
2024-10-16,Expense,2500.0
2024-10-16,Expense,5500.0
2024-10-17,Expense,50000.0
2024-10-17,Income,20000.0
2024-10-19,Expense,100000.0
2024-10-19,Expense,7500.0
2024-10-20,Expense,6000.0
2024-10-20,Income,800000.0
2024-10-20,Expense,80000.0
2024-10-20,Income,15000.0
2024-10-20,Expense,1000.0
2024-10-20,Expense,50000.0
2024-10-20,Expense,3000.0
2024-10-21,Expense,20000.0
2024-10-21,Income,247000.0
2024-10-22,Expense,500000.0
2024-10-22,Expense,750.0
2024-10-23,Income,1000000.0
2024-10-23,Expense,200000.0
2024-10-23,Expense,200000.0
2024-10-23,Expense,2500.0
2024-10-24,Expense,100000.0
2024-10-25,Expense,200000.0
2024-10-25,Expense,200000.0
2024-10-27,Income,700000.0
2024-10-28,Expense,750.0
2024-10-28,Income,4000000.0
2024-10-29,Income,800000.0
2024-10-29,Expense,300000.0
2024-10-29,Income,2000000.0
2024-10-29,Income,300000.0
2024-10-30,Expense,120000.0
2024-10-30,Expense,2500.0
2024-10-30,Expense,100000.0
2024-10-30,Expense,2500.0
2024-10-30,Expense,3000.0
2024-10-30,Expense,810752.0
2024-10-30,Expense,6500.0
2024-10-30,Expense,3203000.0
2024-10-30,Expense,2500.0
2024-10-30,Expense,3000000.0
2024-10-31,Expense,2500.0
2024-10-31,Income,1500000.0
2024-10-31,Expense,500000.0
2024-11-01,Expense,360000.0
2024-11-01,Income,2000000.0
2024-11-01,Income,24000.0
2024-11-01,Income,307142.0
2024-11-02,Expense,330000.0
2024-11-02,Expense,2500.0
2024-11-02,Expense,680000.0
2024-11-02,Expense,2500.0
2024-11-02,Income,100000.0
2024-11-03,Income,800000.0
2024-11-03,Expense,1000000.0
2024-11-03,Income,1200000.0
2024-11-04,Expense,100000.0
2024-11-04,Expense,2500.0
2024-11-04,Expense,437000.0
2024-11-04,Expense,40000.0
2024-11-04,Expense,750.0
2024-11-04,Expense,2500.0
2024-11-05,Expense,700000.0
2024-11-05,Income,500000.0
2024-11-05,Income,1000000.0
2024-11-07,Expense,500000.0
2024-11-07,Income,2500000.0
2024-11-07,Expense,100000.0
2024-11-07,Expense,50000.0
2024-11-07,Expense,2500.0
2024-11-08,Expense,254000.0
2024-11-08,Expense,1000000.0
2024-11-08,Expense,300000.0
2024-11-08,Expense,89800.0
2024-11-10,Expense,3000.0
2024-11-11,Expense,775000.0
2024-11-11,Expense,524000.0
2024-11-11,Expense,2500.0
2024-11-11,Expense,2500.0
2024-11-11,Expense,100000.0
2024-11-11,Expense,6500.0
2024-11-11,Expense,150000.0
2024-11-12,Expense,20000.0
2024-11-12,Expense,1500.0
2024-11-12,Income,40000.0
2024-11-12,Expense,1500.0
2024-11-13,Income,50000.0
2024-11-14,Expense,30000.0
2024-11-15,Income,300000.0
2024-11-15,Expense,20000.0
2024-11-15,Expense,90000.0
2024-11-16,Expense,2500.0
2024-11-16,Expense,5500.0
2024-11-18,Income,700000.0
2024-11-18,Expense,437000.0
2024-11-18,Expense,2500.0
2024-11-18,Expense,150000.0
2024-11-18,Expense,2500.0
